name;last_name;birth_date;id;city;town;symptoms;description;status;date_of_admission
Emilian;Carrasquill;30/07/1968;233440882010;Guatemala;Mixco;Fiebre, Cansancio;Columbus, Estados Unidos;Confirmado;20/04/2020
Luperco;Dueñas;20/09/2004;19866559205;El Progreso;Sanarate;Fiebre, Cansancio, Escalofríos y dolores corporales;Joliet, Estados Unidos;Recuperado;3/05/2020
Laurencio;Gamez;4/11/1998;2376712343;Escuintla;Iztapa;Fiebre, Tos seca, Escalofríos y dolores corporales;La Paz Centro, Nicaragua;Recuperado;13/04/2020
Nereo;Gracia;19/10/1952;20863757192;Jalapa;Mataquescuintla;Fiebre, Cansancio;Ignacio Zaragoza, Mexico;Recuperado;6/04/2020
Ticiano;Batista;30/01/1942;258089871310;Jutiapa;Conguaco;Fiebre, Cansancio;Valencia, España;Sospechoso;3/05/2020
Maximiliana;Iglesias;27/12/2013;29194528148;Retalhuleu;Champerico;Fiebre, Tos seca;San Jerónimo, Guatemala;Sospechoso;23/03/2020
Daniele;Pineda;15/10/1969;22220371126;Jutiapa;Jerez;Fiebre, Tos seca;Cincinnati, Estados Unidos;Recuperado;8/04/2020
Myra;Cepeda;22/06/1930;19833898221;San Marcos;Ayutla;Fiebre, Cansancio, Escalofríos y dolores corporales;Wichita, Estados Unidos;Recuperado;1/05/2020
Haman;Ríos;9/10/2011;20401221137;Santa Rosa;Chiquimulilla;Fiebre, Cansancio, Escalofríos y dolores corporales;Escazú, Costa Rica;Sospechoso;11/04/2020
Idelfonso;Marín;6/07/1945;27068006173;Jutiapa;Comapa;Fiebre, Dificultad respiratoria;Buenos Aires, Mexico;Confirmado;1/05/2020
Delfina;Jaimes;28/06/1958;27968828225;Escuintla;Tiquisate;Fiebre, Cansancio, Escalofríos y dolores corporales;Charlotte, Estados Unidos;Confirmado;1/04/2020
Giuliana;Acevedo;9/03/1926;1978552947;Totonicapán;San Bartolo;Fiebre, Tos seca, Escalofríos y dolores corporales;Guadalupe, Mexico;Recuperado;1/05/2020
Ammiano;Garza;18/04/1989;2016700242;Escuintla;San José;Fiebre, Cansancio;Bocana de Paiwas, Nicaragua;Recuperado;16/04/2020
Nilce;Aguayo;10/11/1972;19789358206;San Marcos;Ayutla;Fiebre, Cansancio;San Francisco, Mexico;Recuperado;30/04/2020
Candelaria;Veliz;7/04/1949;28899849143;Jalapa;Jalapa;Fiebre, Cansancio;Albuquerque, Estados Unidos;Recuperado;6/05/2020
Mili;Meléndez;3/06/1939;22833439107;Izabal;Los Amates;Fiebre, Cansancio, Escalofríos y dolores corporales;Toledo, Estados Unidos;Recuperado;30/03/2020
Demeter;Ulibarri;29/05/1989;21348506185;Sololá;Nahualá;Fiebre, Tos seca;Bocana de Paiwas, Nicaragua;Recuperado;13/04/2020
Elodia;Collazo;14/10/2005;2741952489;Retalhuleu;San Sebastián;Fiebre, Tos seca, Escalofríos y dolores corporales;Cañaveral, Honduras;Confirmado;7/05/2020
Annabel;Collazo;1/04/2009;24839617109;Escuintla;Palín;Fiebre, Cansancio, Escalofríos y dolores corporales;Santa Ana, Estados Unidos;Confirmado;24/04/2020
Joana;Lemus;10/06/2008;21533757179;San Marcos;Comitancillo;Fiebre, Cansancio;Las Vegas, Estados Unidos;Confirmado;23/03/2020
Nuria;Najera;16/03/2018;22709303119;Petén;San José;Fiebre, Cansancio;Las Americas, Mexico;Confirmado;24/04/2020
Innie;Rentería;15/04/1931;2466329455;Chiquimula;Chiquimula;Fiebre, Cansancio, Escalofríos y dolores corporales;Loma Alta, Mexico;Recuperado;13/03/2020
Everardo;Samaniego;9/12/1990;29434932168;Chimaltenango;Patzún;Fiebre, Cansancio;Sacramento, Estados Unidos;Recuperado;23/03/2020
Tania;Jaime;7/05/1953;19465212205;Sololá;Sololá;Fiebre, Tos seca;Garland, Estados Unidos;Sospechoso;24/03/2020
Janette;Moreno;4/01/1957;2070262717;Baja Verapaz;San Miguel Chicaj;Fiebre, Cansancio, Escalofríos y dolores corporales;Los Angeles, Estados Unidos;Sospechoso;6/05/2020
Olinda;Toro;26/04/1980;1996474722;Alta Verapaz;Cobán;Fiebre, Cansancio;Des Moines, Estados Unidos;Sospechoso;30/04/2020
Candido;Díaz;24/02/1940;282916971310;Sololá;Sololá;Fiebre, Tos seca;San Salvador, El Salvador;Recuperado;12/04/2020
Cunibaldo;Cano;21/10/1947;2334547855;Quetzaltenango;Salcajá;Fiebre, Cansancio;Las Lomas, Panama;Confirmado;8/04/2020
Ladolfo;Montemayor;12/07/2007;20376222113;Sacatepéquez;Ciudad Vieja;Fiebre, Dificultad respiratoria;Independencia, Mexico;Recuperado;31/03/2020
Aron;Pedraza;29/08/1979;25895356135;Sololá;Panajachel;Fiebre, Tos seca;La Palma, Mexico;Sospechoso;5/05/2020
Adelaida;Sanabria;19/01/1979;2585901331;Zacapa;Estanzuela;Fiebre, Tos seca;Oklahoma City, Estados Unidos;Confirmado;18/04/2020
Ilia;Monroy;26/02/2008;24752342135;Suchitepéquez;San José El Ídolo;Fiebre, Dificultad respiratoria;Newport News, Estados Unidos;Recuperado;17/04/2020
Brandon;Tamez;27/09/1986;2428958394;San Marcos;Ayutla;Fiebre, Tos seca, Escalofríos y dolores corporales;Quezalguaque, Nicaragua;Confirmado;26/03/2020
Goio;Téllez;14/03/1997;25687345173;Guatemala;Mixco;Fiebre, Tos seca;Jamaica, Estados Unidos;Sospechoso;16/03/2020
Arnulfo;Ocampo;12/05/1964;2712982564;Escuintla;San José;Fiebre, Tos seca;Nuevo Chamelecón, Honduras;Sospechoso;3/05/2020
Bartolo;Carbajal;26/07/2002;25146249106;San Marcos;Malacatán;Fiebre, Cansancio, Escalofríos y dolores corporales;New Haven, Estados Unidos;Sospechoso;9/04/2020
Licerio;Árias;12/01/2014;2255065528;Sololá;Nahualá;Fiebre, Dificultad respiratoria;Fortuna, Costa Rica;Recuperado;11/04/2020
Susan;Alicea;27/10/1944;19470437143;Baja Verapaz;Salamá;Fiebre, Dificultad respiratoria;Kissimmee, Estados Unidos;Confirmado;30/03/2020
Licerio;Quesada;5/09/1996;2051419782;Suchitepéquez;Samayac;Fiebre, Tos seca;Omaha, Estados Unidos;Sospechoso;28/03/2020
Lutero;Tafoya;7/05/1993;2378931853;Izabal;El Estor;Fiebre, Tos seca, Escalofríos y dolores corporales;Palmas De Gran Canaria, Las, España;Sospechoso;31/03/2020
Peer;Manzanares;9/11/2006;2035014481;Zacapa;Río Hondo;Fiebre, Cansancio, Escalofríos y dolores corporales;San Jose, Mexico;Sospechoso;28/04/2020
Cesaria;Sisneros;18/06/1972;2007259047;Chimaltenango;Chimaltenango;Fiebre, Tos seca, Escalofríos y dolores corporales;Evansville, Estados Unidos;Sospechoso;7/04/2020
Orangel;Pacheco;28/09/1953;19652634197;Huehuetenango;La Libertad;Fiebre, Cansancio, Escalofríos y dolores corporales;Richmond, Estados Unidos;Recuperado;15/04/2020
Neptuno;Galindo;25/12/2019;19064469203;Retalhuleu;Santa Cruz Muluá;Fiebre, Tos seca;Jamaica, Estados Unidos;Confirmado;8/05/2020
Martial;Laureano;16/10/1948;20399040710;Chiquimula;Quezaltepeque;Fiebre, Cansancio;Badajoz, España;Recuperado;12/04/2020
Maico;Urbina;2/11/2007;25777138910;Guatemala;Villa Nueva;Fiebre, Cansancio;Morazán, Guatemala;Recuperado;17/04/2020
Ermelindo;Tórrez;2/07/2018;24540253510;Escuintla;San José;Fiebre, Cansancio;Seattle, Estados Unidos;Sospechoso;22/03/2020
Olaf;Montenegro;20/02/1967;2211870164;Guatemala;Chuarrancho;Fiebre, Tos seca;San Antonio Aguas Calientes, Guatemala;Recuperado;20/04/2020
Junior;Urena;20/04/1922;26796857152;Quetzaltenango; Salcajá;Fiebre, Tos seca, Escalofríos y dolores corporales;Teruel, España;Confirmado;24/04/2020
Giancarlo;Lira;8/12/1991;29828613137;Guatemala;Guatemala;Fiebre, Tos seca;El Escanito, Honduras;Recuperado;13/03/2020
Kristina;Barajas;28/11/1952;2793219492;Escuintla;San Vicente Pacaya;Fiebre, Tos seca, Escalofríos y dolores corporales;Joliet, Estados Unidos;Sospechoso;27/03/2020
Valfredo;Ibarra;6/07/1934;2170264248;Sololá;San Antonio Palopó;Fiebre, Cansancio;Panamá, Panama;Sospechoso;19/03/2020
Jerónima;Rosas;10/11/1943;22416987188;Zacapa;Estanzuela;Fiebre, Dificultad respiratoria;San Lucas Sacatepéquez, Guatemala;Confirmado;5/04/2020
Ald;Arroyo;23/02/1978;24818962151;Escuintla;Siquinalá;Fiebre, Tos seca;San Felipe, Costa Rica;Confirmado;24/04/2020
Agenor;Baez;30/04/1925;20422606182;Huehuetenango;Cuilco;Fiebre, Cansancio;Santiago de María, El Salvador;Recuperado;3/04/2020
Ysmael;Santiago;15/08/2005;20525526610;Escuintla;Palín;Fiebre, Dificultad respiratoria;Cerro Punta, Panama;Confirmado;27/03/2020
Balbino;Gil;21/02/1950;22786349132;Sacatepéquez;Santa María de Jesús;Fiebre, Dificultad respiratoria;Araulí, Honduras;Sospechoso;15/04/2020
Danika;Valentín;9/03/1954;25971056110;Baja Verapaz;Purulhá;Fiebre, Dificultad respiratoria;Las Vegas, Honduras;Sospechoso;24/03/2020
Piedad;Casárez;29/08/1972;29729336113;Alta Verapaz;Cobán;Fiebre, Tos seca, Escalofríos y dolores corporales;Agua Buena, Panama;Sospechoso;21/03/2020
Ray;Sotelo;16/01/1959;24620212123;Sololá;Concepción;Fiebre, Tos seca, Escalofríos y dolores corporales;Los Angeles, Estados Unidos;Recuperado;19/04/2020
Pilato;Cordero;16/01/2005;26740247136;Izabal;El Estor;Fiebre, Cansancio, Escalofríos y dolores corporales;Chinameca, El Salvador;Sospechoso;15/03/2020
Ambrosia;Hernádez;7/07/1964;2976013414;Quetzaltenango;Quetzaltenango;Fiebre, Tos seca;Hyattsville, Estados Unidos;Confirmado;25/03/2020
Pegaso;Domínquez;4/05/1974;26633002197;Sacatepéquez;Ciudad Vieja;Fiebre, Tos seca;Miguel Aleman, Mexico;Confirmado;18/04/2020
Laurentino;Olvera;17/12/1982;25968403192;Guatemala;Chuarrancho;Fiebre, Cansancio, Escalofríos y dolores corporales;Springfield, Estados Unidos;Recuperado;19/03/2020
Adhelmar;Banda;19/07/1961;28483831174;Escuintla;Tiquisate;Fiebre, Cansancio, Escalofríos y dolores corporales;Lincoln, Estados Unidos;Confirmado;18/03/2020
Lua;Montez;2/06/1927;2820528514;Chimaltenango;San Juan Comalapa;Fiebre, Tos seca, Escalofríos y dolores corporales;Fovissste, Mexico;Recuperado;2/05/2020
Lucina;Prieto;14/01/2012;2578370624;Sacatepéquez;Alotenango;Fiebre, Cansancio;San Pedro Sacatepéquez, Guatemala;Recuperado;11/04/2020
Quintilio;Arroyo;12/09/1991;24263027126;Guatemala;Guatemala;Fiebre, Tos seca, Escalofríos y dolores corporales;Esparza, Costa Rica;Confirmado;25/04/2020
Cleto;Ávalos;23/06/1977;2699090366;Escuintla;Palín;Fiebre, Cansancio;Berlín, El Salvador;Confirmado;21/04/2020
Valeriano;Cabán;24/05/1960;1979514949;Jutiapa;El Adelanto;Fiebre, Dificultad respiratoria;Dulce Nombre de Culmí, Honduras;Confirmado;31/03/2020
Fabrizio;Pedraza;10/05/2019;2901378966;Zacapa;Río Hondo;Fiebre, Tos seca;Las Flores, Mexico;Recuperado;26/03/2020
Alcia;González;16/10/1986;19502586201;Quetzaltenango;Cantel;Fiebre, Tos seca, Escalofríos y dolores corporales;Bronx, Estados Unidos;Confirmado;7/05/2020
Pirra;Armendáriz;31/07/1959;20258304164;Jutiapa;Jalpatagua;Fiebre, Dificultad respiratoria;Maple Plain, Estados Unidos;Confirmado;14/04/2020
Domiciano;Mateo;12/01/1971;2170472394;San Marcos;Ayutla;Fiebre, Dificultad respiratoria;Kansas City, Estados Unidos;Confirmado;29/03/2020
Ciril;Alanis;7/02/1977;19675315219;Sololá;Concepción;Fiebre, Tos seca;Puerto Alto, Honduras;Sospechoso;14/03/2020
Helen;Fajardo;24/03/1963;21797269151;Chiquimula;Olopa;Fiebre, Cansancio;Patarrá, Costa Rica;Sospechoso;6/05/2020
Gustav;Hinojosa;24/05/1939;27373174110;Retalhuleu;Retalhuleu;Fiebre, Cansancio, Escalofríos y dolores corporales;El Refugio, Mexico;Confirmado;12/04/2020
Agesislao;Barajas;28/03/1990;22377519184;Escuintla;San José;Fiebre, Dificultad respiratoria;Pasaco, Guatemala;Confirmado;6/05/2020
Iair;Gaytan;25/12/1985;225470111710;Jutiapa;El Adelanto;Fiebre, Dificultad respiratoria;El Olivar, Honduras;Recuperado;29/04/2020
Amilcar;Ramírez;19/11/1999;20973965123;San Marcos;Ayutla;Fiebre, Dificultad respiratoria;Fort Worth, Estados Unidos;Confirmado;14/04/2020
Maximino;Sauceda;25/07/1941;24683850219;Izabal;Los Amates;Fiebre, Tos seca;Los Angeles, Estados Unidos;Recuperado;28/04/2020
Casdoa;Haro;27/01/1956;1931051682;Izabal;Livingston;Fiebre, Tos seca;Sacapulas, Guatemala;Confirmado;27/04/2020
Teodolinda;Solano;9/01/1932;19611575223;Quiché;Zacualpa;Fiebre, Cansancio, Escalofríos y dolores corporales;Nueva Ocotepeque, Honduras;Sospechoso;14/04/2020
Misael;Cervántez;27/07/1929;26208932146;Guatemala;Mixco;Fiebre, Cansancio;Murcia, España;Confirmado;22/03/2020
Azanías;Zamora;24/08/1964;22630527222;Retalhuleu;San Sebastián;Fiebre, Tos seca;Greensboro, Estados Unidos;Confirmado;4/05/2020
Clorindo;Granados;18/08/1942;2059551345;Alta Verapaz;San Cristóbal Verapaz;Fiebre, Tos seca, Escalofríos y dolores corporales;San Isidro, Mexico;Confirmado;3/04/2020
Idalina;Barraza;21/11/1984;21797002185;San Marcos;Ayutla;Fiebre, Dificultad respiratoria;La Estancia, Honduras;Confirmado;3/05/2020
Delfor;Acuna;26/04/1991;2507384117;Sacatepéquez;Pastores;Fiebre, Cansancio;Reforma, Mexico;Sospechoso;7/04/2020
Mireille;Ojeda;9/09/1955;2556243118;San Marcos;San Marcos;Fiebre, Dificultad respiratoria;Oakland, Estados Unidos;Recuperado;7/04/2020
Telmo;Osorio;12/05/1971;2658322274;Suchitepéquez;San José El Ídolo;Fiebre, Tos seca;Sacramento, Estados Unidos;Confirmado;14/03/2020
Yakue;Fajardo;24/02/1945;25995920226;Huehuetenango;La Libertad;Fiebre, Tos seca, Escalofríos y dolores corporales;Ciudad Arce, El Salvador;Recuperado;7/05/2020
Friedrich;Palomo;11/08/1967;2779079115;Escuintla;Tiquisate;Fiebre, Cansancio;Concepción Tutuapa, Guatemala;Recuperado;27/03/2020
Jacinta;Montez;27/10/1934;19413586182;Huehuetenango;Ixtahuacán;Fiebre, Dificultad respiratoria;Denton, Estados Unidos;Confirmado;11/04/2020
Alsan;Arreola;6/08/1950;25502215222;San Marcos;San Marcos;Fiebre, Tos seca, Escalofríos y dolores corporales;Iowa City, Estados Unidos;Recuperado;18/04/2020
Tarsicio;Sarabia;15/12/1960;21248997205;San Marcos;Catarina;Fiebre, Tos seca;Lakeland, Estados Unidos;Recuperado;31/03/2020
Estanislao;Acuna;25/01/2018;20133430114;Huehuetenango;Santa Bárbara;Fiebre, Cansancio;San Jose, Estados Unidos;Recuperado;16/03/2020
Folco;Arana;30/01/1944;2508933566;Sololá;Nahualá;Fiebre, Tos seca, Escalofríos y dolores corporales;Tepusteca, Honduras;Recuperado;17/03/2020
Micol;Maya;16/03/1961;28893769113;Chimaltenango;Chimaltenango;Fiebre, Cansancio, Escalofríos y dolores corporales;Jeffersonville, Estados Unidos;Confirmado;30/03/2020
Camille;Estrada;5/07/1956;213004341710;San Marcos;Catarina;Fiebre, Cansancio;San Andrés, Panama;Sospechoso;20/03/2020
Argus;Benavidez;16/07/1948;29979138131;Escuintla;Palín;Fiebre, Cansancio, Escalofríos y dolores corporales;El Paraíso, Honduras;Confirmado;27/03/2020
