name;last_name;birth_date;id;city;town;symptoms;description;status;date_of_admission
Emilian;Carrasquill;30/07/1968;233440882010;Sacatepéquez;Mixco;Fiebre, Cansancio;Columbus, Estados Unidos;Confirmado;20/04/2020
Luperco;Dueñas;20/09/2004;19866559205;El Progreso;Sanarate;Fiebre, Cansancio, Escalofríos y dolores corporales;Joliet, Estados Unidos;Recuperado;3/05/2020
Laurencio;Gamez;4/11/1998;2376712343;Escuintla;Iztapa;Fiebre, Tos seca, Escalofríos y dolores corporales;La Paz Centro, Nicaragua;Recuperado;13/04/2020
Nereo;Gracia;19/10/1952;20863757192;Jalapa;Mataquescuintla;Fiebre, Cansancio;Ignacio Zaragoza, Mexico;Recuperado;6/04/2020
Ticiano;Batista;30/01/1942;258089871310;Jutiapa;Conguaco;Fiebre, Cansancio;Valencia, España;Sospechoso;3/05/2020
Maximiliana;Iglesias;27/12/2013;29194528148;Retalhuleu;Champerico;Fiebre, Tos seca;San Jerónimo, Guatemala;Sospechoso;23/03/2020
Daniele;Pineda;15/10/1969;22220371126;Jutiapa;Jerez;Fiebre, Tos seca;Cincinnati, Estados Unidos;Recuperado;8/04/2020
Myra;Cepeda;22/06/1930;19833898221;San Marcos;Ayutla;Fiebre, Cansancio, Escalofríos y dolores corporales;Wichita, Estados Unidos;Recuperado;1/05/2020
Haman;Ríos;9/10/2011;20401221137;Santa Rosa;Chiquimulilla;Fiebre, Cansancio, Escalofríos y dolores corporales;Escazú, Costa Rica;Sospechoso;11/04/2020
Idelfonso;Marín;6/07/1945;27068006173;Jutiapa;Comapa;Fiebre, Dificultad respiratoria;Buenos Aires, Mexico;Confirmado;1/05/2020
Delfina;Jaimes;28/06/1958;27968828225;Escuintla;Tiquisate;Fiebre, Cansancio, Escalofríos y dolores corporales;Charlotte, Estados Unidos;Confirmado;1/04/2020
Giuliana;Acevedo;9/03/1926;1978552947;Totonicapán;San Bartolo;Fiebre, Tos seca, Escalofríos y dolores corporales;Guadalupe, Mexico;Recuperado;1/05/2020
Ammiano;Garza;18/04/1989;2016700242;Escuintla;San José;Fiebre, Cansancio;Bocana de Paiwas, Nicaragua;Recuperado;16/04/2020
Nilce;Aguayo;10/11/1972;19789358206;San Marcos;Ayutla;Fiebre, Cansancio;San Francisco, Mexico;Recuperado;30/04/2020
Candelaria;Veliz;7/04/1949;28899849143;Jalapa;Jalapa;Fiebre, Cansancio;Albuquerque, Estados Unidos;Recuperado;6/05/2020
Mili;Meléndez;3/06/1939;22833439107;Izabal;Los Amates;Fiebre, Cansancio, Escalofríos y dolores corporales;Toledo, Estados Unidos;Recuperado;30/03/2020
