name;last_name;birth_date;id;city;town;symptoms;description;status
Emilian;Carrasquill;30/07/1968;233440882010;Guatemala;Mixco;Fiebre, Cansancio;Columbus, Estados Unidos;Confirmado
Luperco;Dueñas;20/09/2004;19866559205;El Progreso;Sanarate;Fiebre, Cansancio, Escalofríos y dolores corporales;Joliet, Estados Unidos;Recuperado
Laurencio;Gamez;4/11/1998;2376712343;Escuintla;Iztapa;Fiebre, Tos seca, Escalofríos y dolores corporales;La Paz Centro, Nicaragua;Recuperado
Nereo;Gracia;19/10/1952;20863757192;Jalapa;Mataquescuintla;Fiebre, Cansancio;Ignacio Zaragoza, Mexico;Recuperado
Ticiano;Batista;30/01/1942;258089871310;Jutiapa;Conguaco;Fiebre, Cansancio;Valencia, España;Sospechoso
Maximiliana;Iglesias;27/12/2013;29194528148;Retalhuleu;Champerico;Fiebre, Tos seca;San Jerónimo, Guatemala;Sospechoso
Daniele;Pineda;15/10/1969;22220371126;Jutiapa;Jerez;Fiebre, Tos seca;Cincinnati, Estados Unidos;Recuperado
Myra;Cepeda;22/06/1930;19833898221;San Marcos;Ayutla;Fiebre, Cansancio, Escalofríos y dolores corporales;Wichita, Estados Unidos;Recuperado
Haman;Ríos;9/10/2011;20401221137;Santa Rosa;Chiquimulilla;Fiebre, Cansancio, Escalofríos y dolores corporales;Escazú, Costa Rica;Sospechoso
Idelfonso;Marín;6/07/1945;27068006173;Jutiapa;Comapa;Fiebre, Dificultad respiratoria;Buenos Aires, Mexico;Confirmado
Delfina;Jaimes;28/06/1958;27968828225;Escuintla;Tiquisate;Fiebre, Cansancio, Escalofríos y dolores corporales;Charlotte, Estados Unidos;Confirmado
Giuliana;Acevedo;9/03/1926;1978552947;Totonicapán;San Bartolo;Fiebre, Tos seca, Escalofríos y dolores corporales;Guadalupe, Mexico;Recuperado
Ammiano;Garza;18/04/1989;2016700242;Escuintla;San José;Fiebre, Cansancio;Bocana de Paiwas, Nicaragua;Recuperado
